,n_problematic_contacts
0,11
1,9
2,12
3,16
4,16
5,14
6,10
7,9
8,9
9,6
10,6
11,4
12,6
13,7
14,7
15,6
16,7
17,3
18,3
19,3
20,7
21,6
22,6
23,3
24,3
25,4
26,7
27,6
28,7
29,6
30,7
31,9
32,6
33,6
34,8
35,7
36,7
37,5
38,5
39,4
40,6
41,5
42,3
43,6
44,6
45,6
46,7
47,6
48,7
49,9
50,6
51,7
52,9
53,11
54,10
55,5
56,4
57,4
58,6
59,6
60,4
61,2
62,5
63,4
64,3
65,6
66,5
67,1
68,3
69,4
70,8
71,10
72,10
73,10
74,10
75,6
76,10
77,9
78,10
79,12
80,10
81,11
82,12
83,12
84,11
85,8
86,10
87,8
88,6
89,7
90,5
91,5
92,6
93,6
94,9
95,11
96,11
97,7
98,10
99,9
100,11
101,6
102,6
103,5
104,5
105,5
106,7
107,6
108,9
109,9
110,8
111,8
112,11
113,10
114,9
115,6
116,5
117,6
118,4
119,3
120,5
121,5
122,8
123,8
124,8
125,14
126,13
127,18
128,11
129,10
130,9
131,9
132,10
133,11
134,10
135,10
136,11
137,9
138,13
139,13
140,12
141,12
142,10
143,16
144,19
145,20
146,23
147,18
148,19
149,20
150,15
151,18
152,14
153,15
154,11
155,9
156,10
157,11
158,11
159,11
160,13
161,11
162,14
163,10
164,10
165,12
166,18
167,14
168,10
169,9
170,7
171,7
172,8
173,7
174,10
175,8
176,11
177,14
178,11
179,9
180,5
181,8
182,7
183,5
184,7
185,9
186,6
187,5
188,10
189,7
190,5
191,5
192,5
193,7
194,6
195,6
196,8
197,10
198,8
199,10
200,6
201,4
202,2
203,2
204,4
205,5
206,8
207,6
208,5
209,7
210,7
211,8
212,7
213,8
214,7
215,6
216,5
217,9
218,7
219,3
220,2
221,5
222,5
223,5
224,4
225,4
226,3
227,3
228,5
229,8
230,8
231,10
232,7
233,6
234,7
235,5
236,3
237,5
238,6
239,6
240,5
241,5
242,3
243,5
244,5
245,6
246,9
247,8
248,9
249,10
250,9
251,7
252,6
253,4
254,3
255,2
256,3
257,3
258,4
259,4
260,5
261,6
262,5
263,3
264,2
265,3
266,3
267,6
268,3
269,5
270,5
271,4
272,9
273,4
274,3
275,4
276,7
277,7
278,5
279,7
280,9
281,5
282,3
283,6
284,5
285,5
286,7
287,4
288,4
289,5
290,4
291,6
292,7
293,8
294,9
295,9
296,10
297,7
298,10
299,8
300,6
301,8
302,6
303,5
304,3
305,5
306,6
307,9
308,10
309,8
310,5
311,5
312,3
313,8
314,3
315,4
316,6
317,5
318,6
319,9
320,8
321,5
322,6
323,4
324,5
325,5
326,4
327,5
328,9
329,9
330,7
331,7
332,8
333,6
334,8
335,7
336,11
337,8
338,8
339,8
340,10
341,8
342,9
343,11
344,7
345,5
346,6
347,8
348,8
349,8
350,6
351,5
352,7
353,7
354,8
355,6
356,8
357,12
358,12
359,14
360,10
361,10
362,9
363,6
364,6
365,5
366,4
367,3
368,3
369,3
370,3
371,8
372,8
373,7
374,8
375,10
376,5
377,4
378,5
379,4
380,3
381,5
382,6
383,4
384,6
385,3
386,4
387,6
388,7
389,5
390,6
391,9
392,9
393,10
394,10
395,10
396,6
397,10
398,11
399,13
400,13
401,14
402,15
403,18
404,17
405,11
406,14
407,9
408,13
409,16
410,15
411,12
412,15
413,16
414,15
415,9
416,7
417,10
418,10
419,6
420,6
421,6
422,8
423,9
424,11
425,13
426,11
427,9
428,10
429,15
430,8
431,6
432,6
433,5
434,5
435,4
436,5
437,7
438,6
439,6
440,8
441,7
442,7
443,7
444,9
445,7
446,6
447,4
448,5
449,5
450,9
451,8
452,10
453,11
454,9
455,10
456,8
457,11
458,11
459,16
460,12
461,8
462,10
463,11
464,11
465,14
466,9
467,9
468,11
469,14
470,12
471,12
472,14
473,15
474,14
475,14
476,9
477,12
478,8
479,8
480,11
481,9
482,11
483,7
484,10
485,9
486,7
487,6
488,9
489,5
490,6
491,5
492,6
493,8
494,3
495,4
496,3
497,6
498,7
499,6
500,6
