,n_problematic_contacts
0,31
1,21
2,19
3,16
4,18
5,19
6,16
7,20
8,16
9,13
10,15
11,14
12,15
13,10
14,12
15,13
16,13
17,15
18,11
19,9
20,14
21,15
22,14
23,7
24,10
25,8
26,9
27,12
28,13
29,10
30,14
31,14
32,18
33,17
34,19
35,16
36,19
37,27
38,22
39,23
40,19
41,22
42,22
43,18
44,18
45,14
46,16
47,19
48,26
49,29
50,24
51,16
52,20
53,17
54,14
55,18
56,18
57,15
58,16
59,19
60,25
61,22
62,20
63,22
64,18
65,16
66,15
67,16
68,15
69,16
70,19
71,19
72,16
73,14
74,18
75,17
76,20
77,21
78,24
79,22
80,21
81,22
82,25
83,21
84,22
85,20
86,23
87,22
88,23
89,26
90,24
91,29
92,25
93,26
94,25
95,22
96,22
97,25
98,29
99,28
100,27
101,26
102,23
103,24
104,24
105,24
106,18
107,23
108,24
109,21
110,20
111,22
112,24
113,23
114,21
115,21
116,16
117,29
118,25
119,24
120,22
121,24
122,22
123,20
124,18
125,23
126,21
127,18
128,17
129,19
130,18
131,25
132,22
133,19
134,20
135,20
136,17
137,18
138,14
139,13
140,16
141,14
142,13
143,17
144,17
145,19
146,17
147,18
148,20
149,15
150,12
151,15
152,14
153,14
154,11
155,10
156,17
157,18
158,19
159,16
160,21
161,31
162,29
163,37
164,36
165,33
166,33
167,36
168,31
169,31
170,23
171,25
172,25
173,33
174,25
175,25
176,23
177,22
178,24
179,19
180,21
181,22
182,24
183,30
184,33
185,23
186,22
187,16
188,18
189,15
190,17
191,20
192,16
193,19
194,19
195,19
196,23
197,21
198,22
199,24
200,19
201,22
202,18
203,19
204,23
205,26
206,22
207,24
208,23
209,22
210,24
211,26
212,27
213,26
214,27
215,22
216,24
217,25
218,30
219,29
220,21
221,19
222,17
223,18
224,19
225,26
226,26
227,30
228,23
229,25
230,22
231,19
232,16
233,15
234,16
235,18
236,23
237,27
238,28
239,28
240,27
241,27
242,24
243,24
244,27
245,26
246,25
247,29
248,27
249,25
250,30
251,26
252,22
253,29
254,30
255,30
256,28
257,26
258,27
259,23
260,25
261,24
262,25
263,19
264,24
265,23
266,25
267,22
268,25
269,23
270,25
271,24
272,26
273,24
274,24
275,18
276,16
277,20
278,19
279,22
280,18
281,14
282,15
283,15
284,12
285,16
286,16
287,21
288,23
289,24
290,21
291,18
292,14
293,19
294,22
295,18
296,11
297,13
298,13
299,15
300,13
301,15
302,15
303,16
304,18
305,16
306,17
307,16
308,16
309,13
310,16
311,19
312,24
313,17
314,16
315,15
316,23
317,23
318,28
319,32
320,30
321,21
322,19
323,19
324,30
325,26
326,27
327,30
328,33
329,29
330,30
331,28
332,33
333,29
334,32
335,38
336,39
337,37
338,38
339,38
340,37
341,31
342,27
343,30
344,28
345,24
346,21
347,20
348,20
349,18
350,22
351,26
352,24
353,21
354,22
355,20
356,20
357,20
358,19
359,17
360,16
361,17
362,18
363,19
364,18
365,16
366,18
367,17
368,20
369,13
370,18
371,24
372,23
373,24
374,23
375,27
376,26
377,24
378,19
379,18
380,21
381,25
382,24
383,25
384,27
385,29
386,31
387,28
388,21
389,17
390,17
391,18
392,17
393,18
394,20
395,18
396,21
397,22
398,22
399,24
400,22
401,22
402,24
403,24
404,20
405,18
406,12
407,22
408,22
409,21
410,17
411,15
412,14
413,18
414,18
415,21
416,24
417,31
418,24
419,23
420,23
421,30
422,29
423,33
424,31
425,29
426,29
427,24
428,20
429,17
430,18
431,24
432,24
433,21
434,23
435,21
436,22
437,23
438,22
439,24
440,22
441,23
442,26
443,26
444,27
445,25
446,22
447,23
448,29
449,29
450,28
451,26
452,24
453,25
454,22
455,26
456,27
457,33
458,30
459,26
460,21
461,19
462,23
463,23
464,18
465,19
466,22
467,19
468,20
469,19
470,20
471,20
472,21
473,21
474,22
475,21
476,21
477,21
478,21
479,19
480,20
481,17
482,18
483,19
484,20
485,19
486,20
487,20
488,22
489,24
490,21
491,23
492,21
493,19
494,23
495,26
496,22
497,31
498,23
499,22
500,20
