,n_problematic_contacts
0,17
1,15
2,16
3,14
4,13
5,15
6,17
7,14
8,14
9,13
10,12
11,10
12,7
13,9
14,8
15,7
16,9
17,14
18,11
19,9
20,11
21,11
22,18
23,17
24,18
25,19
26,19
27,23
28,22
29,21
30,17
31,12
32,13
33,11
34,14
35,12
36,16
37,18
38,16
39,16
40,18
41,18
42,17
43,22
44,24
45,22
46,23
47,21
48,21
49,17
50,20
51,18
52,21
53,16
54,15
55,23
56,20
57,17
58,13
59,18
60,25
61,22
62,21
63,23
64,27
65,27
66,23
67,22
68,24
69,25
70,26
71,26
72,28
73,28
74,33
75,33
76,32
77,29
78,27
79,23
80,16
81,21
82,21
83,22
84,28
85,28
86,24
87,21
88,20
89,18
90,25
91,24
92,22
93,24
94,20
95,15
96,15
97,17
98,14
99,12
100,19
101,19
102,31
103,31
104,29
105,21
106,20
107,20
108,22
109,17
110,16
111,13
112,12
113,15
114,16
115,15
116,14
117,13
118,15
119,14
120,13
121,9
122,14
123,15
124,16
125,17
126,17
127,14
128,13
129,20
130,22
131,17
132,18
133,15
134,16
135,12
136,10
137,10
138,11
139,15
140,20
141,17
142,22
143,21
144,17
145,16
146,20
147,21
148,19
149,20
150,16
151,16
152,15
153,17
154,18
155,15
156,21
157,19
158,25
159,26
160,27
161,21
162,19
163,16
164,20
165,15
166,14
167,18
168,24
169,22
170,19
171,15
172,12
173,17
174,14
175,14
176,21
177,23
178,22
179,20
180,17
181,22
182,19
183,18
184,21
185,26
186,24
187,20
188,19
189,18
190,18
191,19
192,17
193,14
194,20
195,23
196,21
197,22
198,24
199,26
200,21
201,22
202,21
203,19
204,18
205,18
206,20
207,16
208,10
209,14
210,14
211,14
212,14
213,18
214,21
215,24
216,25
217,16
218,18
219,16
220,15
221,14
222,14
223,13
224,13
225,9
226,11
227,10
228,12
229,9
230,9
231,10
232,14
233,13
234,8
235,10
236,10
237,10
238,7
239,7
240,7
241,7
242,8
243,9
244,12
245,11
246,13
247,11
248,11
249,14
250,13
251,12
252,13
253,16
254,15
255,11
256,12
257,14
258,14
259,14
260,16
261,12
262,11
263,10
264,14
265,15
266,23
267,20
268,22
269,19
270,16
271,16
272,12
273,13
274,14
275,15
276,13
277,16
278,17
279,20
280,21
281,17
282,18
283,20
284,14
285,16
286,10
287,12
288,16
289,19
290,15
291,17
292,16
293,20
294,19
295,22
296,27
297,21
298,15
299,17
300,13
301,12
302,11
303,18
304,12
305,15
306,16
307,14
308,17
309,19
310,18
311,19
312,17
313,18
314,14
315,19
316,22
317,21
318,20
319,24
320,27
321,24
322,25
323,23
324,24
325,25
326,21
327,12
328,13
329,16
330,17
331,13
332,18
333,15
334,15
335,16
336,20
337,16
338,20
339,19
340,17
341,19
342,22
343,22
344,19
345,12
346,14
347,17
348,19
349,15
350,14
351,13
352,15
353,14
354,14
355,11
356,15
357,15
358,17
359,17
360,16
361,18
362,16
363,14
364,14
365,14
366,11
367,12
368,10
369,14
370,14
371,13
372,15
373,12
374,13
375,11
376,11
377,12
378,12
379,15
380,11
381,9
382,12
383,16
384,18
385,16
386,11
387,13
388,20
389,20
390,23
391,20
392,20
393,18
394,21
395,20
396,20
397,19
398,16
399,17
400,19
401,16
402,15
403,13
404,14
405,13
406,18
407,13
408,14
409,17
410,21
411,22
412,16
413,16
414,18
415,24
416,21
417,21
418,23
419,19
420,16
421,15
422,18
423,20
424,21
425,19
426,16
427,18
428,19
429,17
430,13
431,16
432,14
433,14
434,13
435,14
436,14
437,15
438,16
439,13
440,13
441,20
442,22
443,23
444,17
445,13
446,20
447,23
448,19
449,19
450,18
451,18
452,18
453,17
454,12
455,13
456,14
457,13
458,11
459,12
460,12
461,13
462,14
463,14
464,15
465,16
466,13
467,16
468,16
469,20
470,20
471,23
472,25
473,16
474,15
475,17
476,17
477,14
478,15
479,15
480,16
481,15
482,20
483,17
484,18
485,17
486,14
487,14
488,24
489,23
490,30
491,24
492,22
493,22
494,19
495,16
496,19
497,20
498,19
499,18
500,14
