,n_problematic_contacts
0,1
1,2
2,2
3,3
4,2
5,2
6,3
7,2
8,1
9,2
10,2
11,2
12,2
13,3
14,2
15,3
16,3
17,3
18,2
19,3
20,2
21,2
22,2
23,1
24,2
25,3
26,5
27,4
28,3
29,4
30,3
31,3
32,2
33,4
34,3
35,4
36,3
37,4
38,5
39,5
40,8
41,6
42,7
43,8
44,7
45,7
46,5
47,4
48,4
49,2
50,2
51,3
52,4
53,4
54,5
55,5
56,4
57,5
58,6
59,7
60,6
61,5
62,3
63,5
64,2
65,4
66,4
67,3
68,5
69,4
70,5
71,7
72,6
73,8
74,7
75,3
76,1
77,2
78,4
79,5
80,7
81,5
82,5
83,5
84,6
85,7
86,7
87,9
88,8
89,9
90,12
91,10
92,10
93,7
94,5
95,4
96,3
97,3
98,4
99,5
100,3
101,6
102,4
103,3
104,7
105,6
106,6
107,7
108,5
109,6
110,4
111,2
112,2
113,1
114,3
115,3
116,4
117,4
118,3
119,2
120,3
121,3
122,2
123,1
124,0
125,2
126,2
127,1
128,1
129,0
130,0
131,1
132,2
133,2
134,4
135,7
136,4
137,3
138,3
139,7
140,6
141,6
142,3
143,4
144,10
145,8
146,8
147,7
148,5
149,5
150,5
151,5
152,4
153,4
154,6
155,5
156,5
157,2
158,2
159,2
160,2
161,5
162,6
163,5
164,6
165,4
166,2
167,3
168,3
169,3
170,4
171,3
172,3
173,2
174,2
175,3
176,3
177,4
178,3
179,3
180,3
181,2
182,2
183,2
184,2
185,3
186,2
187,2
188,2
189,2
190,1
191,3
192,3
193,4
194,2
195,3
196,2
197,2
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,2
206,2
207,3
208,1
209,2
210,3
211,2
212,4
213,5
214,3
215,2
216,4
217,4
218,3
219,1
220,3
221,3
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,0
240,2
241,3
242,3
243,3
244,3
245,3
246,4
247,4
248,0
249,0
250,1
251,2
252,1
253,2
254,2
255,0
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,0
266,0
267,0
268,0
269,1
270,1
271,1
272,1
273,3
274,4
275,3
276,2
277,1
278,2
279,3
280,4
281,2
282,2
283,1
284,1
285,2
286,2
287,3
288,2
289,1
290,0
291,1
292,2
293,1
294,1
295,2
296,1
297,1
298,1
299,0
300,0
301,0
302,0
303,1
304,1
305,0
306,1
307,1
308,1
309,0
310,1
311,1
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,1
321,2
322,2
323,1
324,2
325,1
326,1
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,1
342,1
343,1
344,3
345,3
346,1
347,1
348,1
349,2
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,2
358,2
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,2
369,3
370,3
371,1
372,2
373,3
374,2
375,4
376,4
377,4
378,4
379,4
380,4
381,3
382,1
383,1
384,1
385,1
386,0
387,0
388,1
389,0
390,0
391,2
392,2
393,2
394,2
395,1
396,2
397,3
398,3
399,5
400,3
401,3
402,3
403,2
404,2
405,2
406,2
407,0
408,0
409,1
410,2
411,3
412,2
413,4
414,6
415,8
416,9
417,8
418,6
419,6
420,6
421,5
422,3
423,3
424,2
425,2
426,3
427,3
428,3
429,3
430,2
431,3
432,2
433,2
434,2
435,3
436,3
437,6
438,6
439,6
440,6
441,8
442,7
443,6
444,6
445,4
446,4
447,5
448,6
449,5
450,6
451,7
452,7
453,7
454,6
455,5
456,4
457,5
458,5
459,3
460,2
461,4
462,2
463,0
464,4
465,2
466,2
467,3
468,3
469,4
470,4
471,4
472,3
473,4
474,2
475,2
476,4
477,3
478,4
479,3
480,2
481,4
482,2
483,3
484,1
485,2
486,5
487,3
488,5
489,7
490,7
491,8
492,10
493,8
494,5
495,4
496,3
497,1
498,2
499,2
500,2
