,n_problematic_contacts
0,16
1,11
2,9
3,8
4,8
5,5
6,5
7,7
8,8
9,5
10,10
11,9
12,12
13,18
14,18
15,21
16,22
17,18
18,20
19,21
20,19
21,21
22,16
23,17
24,17
25,14
26,18
27,21
28,20
29,16
30,11
31,14
32,15
33,12
34,12
35,14
36,13
37,11
38,13
39,10
40,9
41,13
42,15
43,12
44,9
45,13
46,12
47,13
48,12
49,13
50,18
51,19
52,19
53,21
54,18
55,16
56,13
57,12
58,16
59,16
60,18
61,22
62,22
63,26
64,21
65,17
66,17
67,15
68,13
69,12
70,17
71,13
72,15
73,13
74,16
75,19
76,19
77,16
78,14
79,11
80,12
81,12
82,12
83,14
84,15
85,14
86,13
87,12
88,8
89,12
90,13
91,11
92,15
93,15
94,14
95,12
96,14
97,15
98,16
99,15
100,18
101,17
102,21
103,18
104,15
105,18
106,16
107,16
108,19
109,17
110,18
111,23
112,16
113,15
114,13
115,17
116,16
117,19
118,15
119,24
120,23
121,19
122,16
123,20
124,20
125,18
126,16
127,18
128,17
129,15
130,14
131,17
132,15
133,16
134,15
135,12
136,13
137,11
138,13
139,10
140,11
141,14
142,17
143,18
144,19
145,15
146,14
147,17
148,13
149,15
150,14
151,15
152,15
153,13
154,14
155,16
156,17
157,17
158,17
159,11
160,11
161,11
162,11
163,12
164,8
165,11
166,15
167,15
168,19
169,18
170,20
171,19
172,15
173,15
174,20
175,18
176,12
177,17
178,13
179,15
180,12
181,13
182,21
183,21
184,21
185,14
186,13
187,12
188,14
189,14
190,13
191,14
192,15
193,13
194,12
195,12
196,8
197,10
198,13
199,14
200,15
201,15
202,20
203,13
204,13
205,10
206,13
207,18
208,19
209,21
210,23
211,23
212,21
213,21
214,22
215,16
216,19
217,18
218,16
219,19
220,14
221,12
222,9
223,11
224,9
225,8
226,14
227,14
228,14
229,18
230,20
231,19
232,13
233,14
234,12
235,17
236,19
237,19
238,16
239,16
240,16
241,16
242,19
243,16
244,16
245,17
246,21
247,21
248,14
249,14
250,14
251,17
252,16
253,20
254,24
255,22
256,23
257,21
258,22
259,18
260,18
261,18
262,15
263,15
264,15
265,17
266,16
267,18
268,16
269,18
270,17
271,19
272,18
273,16
274,14
275,13
276,13
277,11
278,12
279,12
280,12
281,17
282,12
283,13
284,15
285,17
286,22
287,26
288,28
289,22
290,16
291,22
292,21
293,24
294,23
295,21
296,20
297,26
298,29
299,28
300,26
301,24
302,23
303,21
304,21
305,23
306,21
307,14
308,11
309,12
310,13
311,11
312,9
313,9
314,14
315,16
316,12
317,12
318,14
319,18
320,17
321,17
322,15
323,16
324,19
325,23
326,23
327,21
328,22
329,22
330,19
331,20
332,15
333,12
334,12
335,13
336,16
337,22
338,18
339,13
340,7
341,12
342,21
343,20
344,19
345,16
346,13
347,16
348,19
349,19
350,27
351,25
352,22
353,23
354,19
355,22
356,22
357,26
358,24
359,21
360,14
361,16
362,19
363,26
364,25
365,25
366,28
367,23
368,28
369,27
370,24
371,31
372,27
373,25
374,26
375,24
376,25
377,24
378,23
379,23
380,31
381,31
382,36
383,28
384,19
385,23
386,20
387,17
388,17
389,15
390,20
391,19
392,17
393,18
394,23
395,20
396,20
397,20
398,17
399,23
400,14
401,16
402,19
403,18
404,23
405,24
406,24
407,27
408,22
409,22
410,23
411,21
412,23
413,16
414,13
415,20
416,19
417,20
418,14
419,12
420,16
421,15
422,20
423,26
424,23
425,21
426,19
427,19
428,20
429,26
430,21
431,26
432,28
433,21
434,22
435,18
436,21
437,19
438,21
439,20
440,27
441,30
442,25
443,20
444,17
445,17
446,29
447,28
448,27
449,25
450,25
451,25
452,24
453,23
454,19
455,22
456,24
457,22
458,22
459,23
460,26
461,26
462,18
463,13
464,20
465,19
466,28
467,26
468,33
469,32
470,29
471,29
472,27
473,24
474,20
475,18
476,23
477,27
478,29
479,23
480,20
481,22
482,20
483,22
484,24
485,18
486,13
487,18
488,16
489,12
490,13
491,12
492,14
493,15
494,21
495,25
496,19
497,24
498,26
499,18
500,23
