,N_customers,vaccination_prop,len_shoplist,basic_compliance,vision,run,n_problematic_contacts,n_problematic_contacts_mean,n_problematic_contacts_mean_100
0,57,0.21240234375,18,0.22900390625,6,0,9,6.976047904191617,6.802992518703242
1,129,0.21240234375,18,0.22900390625,6,1,46,38.34730538922156,36.84039900249377
2,57,0.53076171875,18,0.22900390625,6,2,7,2.9620758483033933,3.057356608478803
3,57,0.21240234375,13,0.22900390625,6,3,5,5.552894211576846,5.394014962593516
4,57,0.21240234375,18,0.11083984375,6,4,12,7.83433133732535,7.897755610972569
5,57,0.21240234375,18,0.22900390625,4,5,7,5.970059880239521,5.885286783042394
6,129,0.53076171875,13,0.11083984375,4,6,10,11.235528942115769,10.24937655860349
7,127,0.71240234375,8,0.72900390625,4,7,5,6.2155688622754495,6.476309226932669
8,59,0.71240234375,8,0.72900390625,4,8,0,0.8303393213572854,0.8802992518703242
9,127,0.03076171875,8,0.72900390625,4,9,36,29.922155688622755,30.361596009975063
10,127,0.71240234375,3,0.72900390625,4,10,2,5.5489021956087825,6.236907730673317
11,127,0.71240234375,8,0.61083984375,4,11,2,4.225548902195609,4.6259351620947635
12,127,0.71240234375,8,0.72900390625,6,12,2,3.5988023952095807,3.0598503740648377
13,59,0.03076171875,3,0.61083984375,6,13,7,6.620758483033932,6.850374064837905
14,92,0.46240234375,13,0.47900390625,3,14,10,6.92814371257485,6.802992518703242
15,24,0.46240234375,13,0.47900390625,3,15,0,0.19760479041916168,0.22443890274314215
16,92,0.78076171875,13,0.47900390625,3,16,0,0.8183632734530938,0.7905236907730673
17,92,0.46240234375,8,0.47900390625,3,17,8,5.027944111776447,5.239401496259352
18,92,0.46240234375,13,0.86083984375,3,18,10,6.518962075848304,6.678304239401497
19,92,0.46240234375,13,0.47900390625,5,19,12,6.918163672654691,6.733167082294265
20,24,0.78076171875,8,0.86083984375,5,20,0,0.043912175648702596,0.04738154613466334
21,22,0.96240234375,3,0.97900390625,5,21,0,0.0,0.0
22,94,0.96240234375,3,0.97900390625,5,22,0,0.027944111776447105,0.017456359102244388
23,22,0.28076171875,3,0.97900390625,5,23,0,0.1217564870259481,0.04987531172069826
24,22,0.96240234375,18,0.97900390625,5,24,0,0.0,0.0
25,22,0.96240234375,3,0.36083984375,5,25,0,0.0,0.0
26,22,0.96240234375,3,0.97900390625,3,26,0,0.003992015968063872,0.004987531172069825
27,94,0.28076171875,18,0.36083984375,3,27,14,12.171656686626747,11.850374064837906
28,26,0.49365234375,16,0.01025390625,4,28,0,0.4431137724550898,0.5087281795511222
29,54,0.49365234375,16,0.01025390625,4,29,2,1.9720558882235528,1.8653366583541147
30,26,0.12451171875,16,0.01025390625,4,30,1,1.4630738522954092,1.57356608478803
31,26,0.49365234375,9,0.01025390625,4,31,1,0.405189620758483,0.4538653366583541
32,26,0.49365234375,16,0.45458984375,4,32,0,0.17764471057884232,0.18453865336658354
33,26,0.49365234375,16,0.01025390625,5,33,0,0.6327345309381237,0.6109725685785536
34,54,0.12451171875,9,0.45458984375,5,34,4,6.077844311377246,6.7905236907730675
35,96,0.99365234375,6,0.51025390625,6,35,0,0.0,0.0
36,124,0.99365234375,6,0.51025390625,6,36,0,0.0,0.0
37,96,0.62451171875,6,0.51025390625,6,37,3,4.622754491017964,4.688279301745636
38,96,0.99365234375,19,0.51025390625,6,38,0,0.0,0.0
39,96,0.99365234375,6,0.95458984375,6,39,0,0.0,0.0
40,96,0.99365234375,6,0.51025390625,3,40,0,0.0,0.0
41,124,0.62451171875,19,0.95458984375,3,41,13,6.135728542914172,6.613466334164588
42,131,0.24365234375,11,0.26025390625,5,42,38,34.64870259481038,34.36907730673317
43,89,0.24365234375,11,0.26025390625,5,43,11,10.624750499001996,10.16209476309227
44,131,0.37451171875,11,0.26025390625,5,44,26,21.273453093812375,20.960099750623442
45,131,0.24365234375,14,0.26025390625,5,45,33,31.952095808383234,32.109725685785534
46,131,0.24365234375,11,0.70458984375,5,46,36,28.84431137724551,28.60847880299252
47,131,0.24365234375,11,0.26025390625,4,47,25,27.674650698602793,28.478802992518702
48,89,0.37451171875,14,0.70458984375,4,48,3,6.177644710578842,6.197007481296758
49,61,0.74365234375,1,0.76025390625,3,49,1,1.089820359281437,1.1596009975062345
50,19,0.74365234375,1,0.76025390625,3,50,0,0.06387225548902195,0.05486284289276808
51,61,0.87451171875,1,0.76025390625,3,51,1,0.21756487025948104,0.1970074812967581
52,61,0.74365234375,4,0.76025390625,3,52,0,0.936127744510978,0.8778054862842892
53,61,0.74365234375,1,0.20458984375,3,53,0,0.8043912175648703,0.8902743142144638
54,61,0.74365234375,1,0.76025390625,6,54,1,0.7604790419161677,0.9226932668329177
55,19,0.87451171875,4,0.20458984375,6,55,0,0.023952095808383235,0.029925187032418952
56,79,0.11865234375,9,0.88525390625,3,56,9,6.041916167664671,6.059850374064838
57,72,0.11865234375,9,0.88525390625,3,57,5,5.409181636726547,5.204488778054863
58,79,0.49951171875,9,0.88525390625,3,58,1,3.4491017964071857,3.3865336658354113
59,79,0.11865234375,11,0.88525390625,3,59,8,7.373253493013972,7.2817955112219455
60,79,0.11865234375,9,0.57958984375,3,60,7,10.992015968063873,10.793017456359102
61,79,0.11865234375,9,0.88525390625,3,61,6,5.668662674650698,6.017456359102244
62,72,0.49951171875,11,0.57958984375,3,62,4,2.24750499001996,2.43142144638404
63,149,0.61865234375,19,0.38525390625,5,63,22,10.848303393213573,9.962593516209477
64,142,0.61865234375,19,0.38525390625,5,64,9,7.668662674650698,7.067331670822942
65,149,0.99951171875,19,0.38525390625,5,65,0,0.0,0.0
66,149,0.61865234375,1,0.38525390625,5,66,22,14.888223552894212,13.875311720698255
