,N_customers,vaccination_prop,len_shoplist,basic_compliance,vision,run,n_problematic_contacts,n_problematic_contacts_mean,n_problematic_contacts_mean_100
0,40,0.0966796875,10,0.6767578125,4,0,3,1.6067864271457086,1.745635910224439
1,137,0.0966796875,10,0.6767578125,4,1,38,40.221556886227546,40.71571072319202
2,40,0.0458984375,10,0.6767578125,4,2,1,1.3512974051896207,1.2369077306733167
3,40,0.0966796875,17,0.6767578125,4,3,0,1.4550898203592815,1.3216957605985038
4,40,0.0966796875,10,0.5009765625,4,4,5,2.027944111776447,2.0224438902743143
5,40,0.0966796875,10,0.6767578125,3,5,0,1.4491017964071857,1.3965087281795512
6,137,0.0458984375,17,0.5009765625,3,6,34,52.02195608782435,53.98753117206982
7,110,0.5966796875,0,0.1767578125,6,7,7,11.570858283433134,10.930174563591022
8,67,0.5966796875,0,0.1767578125,6,8,5,10.325349301397205,11.364089775561098
9,110,0.5458984375,0,0.1767578125,6,9,5,12.588822355289421,10.962593516209477
10,110,0.5966796875,7,0.1767578125,6,10,6,7.514970059880239,6.967581047381546
11,110,0.5966796875,0,0.0009765625,6,11,2,13.253493013972056,12.892768079800499
12,110,0.5966796875,0,0.1767578125,5,12,12,12.688622754491018,12.920199501246882
13,67,0.5458984375,7,0.0009765625,5,13,1,2.317365269461078,2.4613466334164587
14,145,0.3466796875,15,0.9267578125,5,14,23,25.760479041916167,26.74563591022444
15,32,0.3466796875,15,0.9267578125,5,15,0,0.5369261477045908,0.32418952618453867
16,145,0.2958984375,15,0.9267578125,5,16,32,26.506986027944112,27.551122194513717
17,145,0.3466796875,2,0.9267578125,5,17,21,26.94810379241517,26.22942643391521
18,145,0.3466796875,15,0.2509765625,5,18,31,35.79441117764471,32.00748129675811
19,145,0.3466796875,15,0.9267578125,6,19,32,25.82435129740519,26.850374064837904
20,32,0.2958984375,2,0.2509765625,6,20,2,1.4950099800399201,1.2443890274314215
21,75,0.8466796875,5,0.4267578125,3,21,0,0.16766467065868262,0.16708229426433915
22,102,0.8466796875,5,0.4267578125,3,22,3,0.4750499001996008,0.5610972568578554
23,75,0.7958984375,5,0.4267578125,3,23,1,0.5708582834331337,0.628428927680798
24,75,0.8466796875,12,0.4267578125,3,24,0,0.34530938123752497,0.3516209476309227
25,75,0.8466796875,5,0.7509765625,3,25,0,0.1377245508982036,0.11221945137157108
26,75,0.8466796875,5,0.4267578125,4,26,0,0.4431137724550898,0.45885286783042395
27,102,0.7958984375,12,0.7509765625,4,27,0,1.872255489021956,1.4713216957605986
28,58,0.4716796875,2,0.3017578125,3,28,3,3.0798403193612773,3.0324189526184537
29,119,0.4716796875,2,0.3017578125,3,29,24,16.345309381237524,17.047381546134662
30,58,0.4208984375,2,0.3017578125,3,30,1,3.8962075848303392,3.9251870324189526
31,58,0.4716796875,0,0.3017578125,3,31,35,18.88622754491018,21.261845386533665
32,58,0.4716796875,2,0.3759765625,3,32,3,2.934131736526946,2.920199501246883
33,58,0.4716796875,2,0.3017578125,5,33,1,2.2015968063872258,2.2194513715710724
34,119,0.4208984375,0,0.3759765625,5,34,27,20.53692614770459,17.69077306733167
35,128,0.9716796875,12,0.8017578125,5,35,0,0.00998003992015968,0.012468827930174564
36,49,0.9716796875,12,0.8017578125,5,36,0,0.0,0.0
37,128,0.9208984375,12,0.8017578125,5,37,1,0.3153692614770459,0.29925187032418954
38,128,0.9716796875,10,0.8017578125,5,38,1,0.2435129740518962,0.2942643391521197
39,128,0.9716796875,12,0.8759765625,5,39,0,0.007984031936127744,0.00997506234413965
40,128,0.9716796875,12,0.8017578125,3,40,0,0.023952095808383235,0.029925187032418952
