,n_problematic_contacts
0,20
1,13
2,15
3,16
4,16
5,14
6,16
7,16
8,12
9,13
10,15
11,14
12,14
13,13
14,16
15,16
16,14
17,16
18,19
19,20
20,24
21,26
22,24
23,27
24,24
25,22
26,18
27,17
28,17
29,20
30,19
31,21
32,19
33,24
34,22
35,16
36,13
37,19
38,16
39,17
40,17
41,17
42,15
43,16
44,18
45,14
46,16
47,18
48,14
49,20
50,21
51,24
52,23
53,27
54,25
55,19
56,13
57,17
58,17
59,15
60,14
61,13
62,10
63,15
64,14
65,14
66,16
67,18
68,20
69,23
70,22
71,21
72,21
73,26
74,27
75,23
76,25
77,24
78,24
79,22
80,22
81,23
82,23
83,20
84,17
85,18
86,20
87,19
88,25
89,27
90,23
91,24
92,21
93,17
94,18
95,18
96,20
97,24
98,23
99,21
100,22
101,18
102,14
103,15
104,14
105,15
106,15
107,14
108,17
109,17
110,20
111,23
112,24
113,24
114,20
115,16
116,17
117,16
118,16
119,11
120,8
121,11
122,16
123,19
124,18
125,16
126,19
127,17
128,20
129,16
130,17
131,12
132,15
133,16
134,18
135,16
136,17
137,13
138,13
139,14
140,17
141,17
142,19
143,24
144,23
145,23
146,18
147,21
148,14
149,14
150,14
151,14
152,19
153,23
154,25
155,18
156,17
157,20
158,18
159,22
160,26
161,25
162,24
163,22
164,17
165,19
166,17
167,21
168,18
169,20
170,23
171,21
172,22
173,18
174,18
175,18
176,20
177,28
178,31
179,28
180,26
181,26
182,27
183,21
184,19
185,18
186,14
187,12
188,13
189,14
190,18
191,24
192,22
193,19
194,22
195,27
196,31
197,27
198,27
199,32
200,27
201,27
202,25
203,18
204,18
205,20
206,22
207,17
208,24
209,21
210,24
211,22
212,19
213,21
214,20
215,22
216,23
217,26
218,25
219,28
220,21
221,25
222,27
223,20
224,21
225,25
226,21
227,15
228,20
229,22
230,24
231,25
232,24
233,20
234,20
235,20
236,20
237,22
238,24
239,17
240,19
241,16
242,15
243,14
244,13
245,11
246,15
247,13
248,13
249,16
250,19
251,19
252,16
253,15
254,16
255,21
256,27
257,18
258,21
259,21
260,20
261,24
262,21
263,19
264,15
265,15
266,14
267,16
268,19
269,22
270,20
271,23
272,24
273,25
274,23
275,25
276,27
277,28
278,26
279,22
280,27
281,25
282,25
283,25
284,25
285,26
286,28
287,21
288,17
289,20
290,22
291,24
292,27
293,28
294,36
295,34
296,31
297,29
298,21
299,21
300,18
301,20
302,22
303,19
304,20
305,19
306,25
307,28
308,28
309,24
310,17
311,18
312,21
313,24
314,25
315,24
316,21
317,19
318,19
319,17
320,16
321,15
322,16
323,12
324,15
325,18
326,16
327,16
328,21
329,23
330,24
331,22
332,19
333,25
334,25
335,22
336,30
337,25
338,25
339,32
340,35
341,37
342,35
343,35
344,31
345,34
346,35
347,26
348,25
349,27
350,25
351,26
352,31
353,31
354,28
355,28
356,26
357,29
358,27
359,32
360,27
361,29
362,27
363,28
364,22
365,19
366,18
367,21
368,27
369,26
370,29
371,23
372,26
373,21
374,17
375,20
376,18
377,17
378,15
379,21
380,14
381,15
382,14
383,18
384,21
385,26
386,33
387,26
388,24
389,25
390,24
391,23
392,27
393,20
394,20
395,21
396,21
397,22
398,22
399,18
400,19
401,20
402,18
403,25
404,22
405,26
406,26
407,31
408,25
409,30
410,25
411,31
412,30
413,25
414,23
415,19
416,17
417,16
418,20
419,18
420,19
421,23
422,24
423,21
424,24
425,30
426,29
427,31
428,29
429,31
430,34
431,41
432,36
433,28
434,23
435,26
436,28
437,32
438,35
439,37
440,38
441,30
442,26
443,25
444,29
445,30
446,32
447,28
448,32
449,39
450,26
451,22
452,19
453,22
454,19
455,26
456,26
457,25
458,23
459,19
460,18
461,15
462,13
463,15
464,17
465,18
466,22
467,23
468,23
469,25
470,23
471,20
472,16
473,18
474,22
475,23
476,22
477,20
478,15
479,19
480,18
481,16
482,20
483,13
484,13
485,12
486,11
487,13
488,13
489,13
490,13
491,15
492,17
493,19
494,22
495,16
496,20
497,22
498,27
499,23
500,26
