,n_problematic_contacts
0,19
1,12
2,11
3,8
4,10
5,9
6,9
7,9
8,10
9,11
10,10
11,11
12,20
13,18
14,17
15,13
16,10
17,10
18,11
19,13
20,13
21,14
22,17
23,17
24,16
25,17
26,17
27,20
28,19
29,19
30,18
31,19
32,23
33,22
34,25
35,25
36,24
37,23
38,20
39,18
40,16
41,14
42,13
43,10
44,16
45,18
46,22
47,21
48,21
49,21
50,26
51,23
52,21
53,18
54,25
55,22
56,27
57,25
58,35
59,36
60,43
61,47
62,51
63,44
64,30
65,32
66,37
67,36
68,33
69,40
70,37
71,36
72,29
73,36
74,31
75,28
76,29
77,29
78,30
79,26
80,24
81,20
82,24
83,29
84,27
85,35
86,31
87,28
88,29
89,24
90,25
91,21
92,23
93,23
94,27
95,32
96,24
97,18
98,18
99,22
100,24
101,23
102,20
103,16
104,20
105,15
106,17
107,18
108,17
109,17
110,21
111,24
112,21
113,20
114,18
115,20
116,23
117,22
118,23
119,25
120,19
121,12
122,10
123,9
124,13
125,12
126,12
127,19
128,20
129,22
130,18
131,14
132,12
133,13
134,18
135,20
136,19
137,17
138,19
139,23
140,19
141,19
142,19
143,17
144,15
145,17
146,15
147,18
148,16
149,19
150,14
151,16
152,18
153,26
154,23
155,22
156,29
157,29
158,31
159,27
160,20
161,21
162,22
163,24
164,24
165,23
166,19
167,15
168,12
169,15
170,12
171,14
172,17
173,16
174,13
175,14
176,16
177,17
178,19
179,21
180,22
181,15
182,16
183,12
184,13
185,15
186,14
187,12
188,12
189,12
190,13
191,15
192,15
193,17
194,23
195,20
196,19
197,18
198,17
199,19
200,17
201,18
202,14
203,17
204,15
205,14
206,16
207,17
208,15
209,14
210,12
211,14
212,14
213,16
214,14
215,18
216,17
217,14
218,13
219,14
220,18
221,19
222,19
223,19
224,23
225,21
226,16
227,25
228,23
229,24
230,23
231,20
232,18
233,15
234,16
235,14
236,18
237,17
238,20
239,20
240,22
241,19
242,19
243,18
244,19
245,20
246,21
247,24
248,24
249,28
250,23
251,17
252,19
253,20
254,24
255,23
256,22
257,16
258,15
259,15
260,15
261,16
262,15
263,16
264,15
265,14
266,16
267,14
268,21
269,17
270,15
271,20
272,16
273,17
274,16
275,15
276,14
277,21
278,24
279,24
280,18
281,21
282,19
283,16
284,14
285,19
286,15
287,18
288,16
289,19
290,17
291,16
292,23
293,22
294,17
295,15
296,15
297,14
298,14
299,17
300,13
301,15
302,16
303,15
304,16
305,12
306,16
307,13
308,12
309,18
310,16
311,14
312,17
313,20
314,19
315,19
316,16
317,19
318,24
319,27
320,25
321,21
322,19
323,20
324,26
325,21
326,24
327,24
328,23
329,23
330,21
331,20
332,22
333,20
334,20
335,20
336,25
337,22
338,22
339,20
340,17
341,19
342,20
343,21
344,24
345,22
346,22
347,23
348,18
349,17
350,18
351,20
352,21
353,22
354,25
355,22
356,20
357,20
358,17
359,16
360,14
361,18
362,13
363,13
364,11
365,8
366,12
367,14
368,14
369,13
370,16
371,15
372,18
373,18
374,21
375,20
376,21
377,18
378,11
379,10
380,11
381,9
382,10
383,9
384,8
385,11
386,10
387,10
388,16
389,16
390,12
391,17
392,22
393,16
394,15
395,17
396,14
397,15
398,14
399,14
400,15
401,12
402,20
403,21
404,21
405,25
406,26
407,23
408,20
409,16
410,19
411,25
412,26
413,24
414,23
415,24
416,24
417,20
418,22
419,19
420,17
421,18
422,17
423,16
424,15
425,13
426,15
427,21
428,18
429,17
430,16
431,16
432,15
433,18
434,21
435,24
436,19
437,16
438,18
439,19
440,26
441,21
442,19
443,14
444,18
445,14
446,15
447,20
448,17
449,15
450,15
451,15
452,16
453,16
454,20
455,19
456,26
457,19
458,17
459,17
460,23
461,20
462,23
463,25
464,35
465,35
466,31
467,27
468,24
469,27
470,24
471,22
472,21
473,23
474,36
475,41
476,39
477,31
478,32
479,34
480,34
481,33
482,26
483,18
484,21
485,18
486,20
487,23
488,21
489,24
490,20
491,24
492,22
493,23
494,22
495,19
496,19
497,20
498,21
499,19
500,18
