,n_problematic_contacts
0,22
1,16
2,12
3,7
4,8
5,7
6,8
7,6
8,7
9,9
10,9
11,10
12,12
13,14
14,11
15,14
16,14
17,15
18,18
19,16
20,13
21,10
22,12
23,13
24,13
25,14
26,14
27,7
28,9
29,14
30,15
31,19
32,24
33,29
34,32
35,31
36,33
37,34
38,36
39,33
40,35
41,37
42,40
43,36
44,38
45,39
46,35
47,26
48,30
49,24
50,22
51,21
52,17
53,19
54,16
55,16
56,16
57,16
58,17
59,19
60,13
61,17
62,17
63,18
64,21
65,21
66,27
67,29
68,27
69,26
70,20
71,14
72,18
73,18
74,15
75,15
76,22
77,26
78,28
79,23
80,17
81,27
82,28
83,23
84,24
85,24
86,20
87,25
88,22
89,22
90,19
91,21
92,21
93,19
94,16
95,14
96,15
97,18
98,19
99,21
100,19
101,18
102,21
103,18
104,20
105,21
106,29
107,29
108,25
109,29
110,28
111,27
112,26
113,22
114,26
115,28
116,24
117,29
118,33
119,36
120,36
121,38
122,39
123,41
124,35
125,31
126,29
127,27
128,24
129,29
130,22
131,26
132,31
133,32
134,26
135,24
136,24
137,22
138,16
139,19
140,15
141,15
142,13
143,18
144,23
145,19
146,21
147,23
148,25
149,22
150,20
151,22
152,20
153,20
154,18
155,16
156,18
157,18
158,18
159,18
160,21
161,21
162,22
163,29
164,34
165,33
166,32
167,29
168,32
169,27
170,30
171,29
172,25
173,29
174,26
175,24
176,26
177,22
178,23
179,28
180,29
181,29
182,25
183,22
184,21
185,16
186,20
187,20
188,18
189,14
190,16
191,16
192,16
193,15
194,17
195,15
196,18
197,23
198,25
199,28
200,21
201,25
202,24
203,22
204,23
205,23
206,21
207,27
208,26
209,22
210,26
211,22
212,20
213,22
214,20
215,19
216,16
217,19
218,20
219,18
220,21
221,23
222,23
223,27
224,33
225,31
226,27
227,23
228,20
229,22
230,21
231,21
232,17
233,17
234,18
235,24
236,23
237,22
238,23
239,25
240,20
241,19
242,17
243,21
244,21
245,26
246,21
247,19
248,16
249,20
250,20
251,20
252,18
253,16
254,21
255,23
256,26
257,24
258,27
259,30
260,29
261,25
262,25
263,22
264,24
265,24
266,25
267,26
268,28
269,27
270,27
271,24
272,21
273,17
274,14
275,15
276,21
277,25
278,26
279,20
280,21
281,20
282,20
283,18
284,19
285,16
286,25
287,20
288,21
289,20
290,20
291,14
292,15
293,16
294,12
295,17
296,14
297,20
298,25
299,19
300,18
301,25
302,18
303,18
304,13
305,18
306,20
307,18
308,14
309,19
310,17
311,13
312,14
313,18
314,20
315,20
316,18
317,15
318,21
319,22
320,21
321,24
322,26
323,23
324,27
325,18
326,14
327,18
328,22
329,22
330,22
331,22
332,21
333,24
334,24
335,26
336,17
337,19
338,20
339,24
340,27
341,20
342,17
343,21
344,20
345,18
346,21
347,16
348,18
349,14
350,13
351,15
352,15
353,15
354,13
355,18
356,16
357,14
358,15
359,18
360,23
361,25
362,27
363,20
364,21
365,16
366,16
367,22
368,19
369,19
370,19
371,20
372,15
373,18
374,17
375,19
376,20
377,19
378,20
379,21
380,24
381,24
382,32
383,23
384,22
385,23
386,21
387,23
388,22
389,25
390,21
391,18
392,19
393,21
394,17
395,19
396,20
397,28
398,20
399,22
400,23
401,19
402,24
403,24
404,15
405,19
406,18
407,16
408,17
409,15
410,17
411,18
412,14
413,15
414,14
415,17
416,19
417,21
418,20
419,19
420,11
421,16
422,16
423,18
424,25
425,18
426,20
427,19
428,17
429,18
430,17
431,16
432,17
433,23
434,21
435,21
436,18
437,20
438,20
439,16
440,16
441,16
442,12
443,16
444,10
445,14
446,15
447,15
448,14
449,20
450,19
451,13
452,17
453,9
454,11
455,11
456,11
457,10
458,14
459,11
460,13
461,13
462,11
463,8
464,7
465,10
466,14
467,15
468,16
469,16
470,21
471,18
472,18
473,21
474,19
475,14
476,18
477,17
478,18
479,23
480,24
481,19
482,19
483,20
484,19
485,16
486,14
487,16
488,14
489,7
490,20
491,15
492,20
493,19
494,16
495,19
496,18
497,23
498,28
499,30
500,33
